title,journal,authors,year,url,doi,Print-ISSN,E-ISSN,Category,Subcategory,Subcategory,Subcategory
Using AI to support people with disability in the labour market,OECD Artificial Intelligence Papers,,2023,http://dx.doi.org/10.1787/008b32b7-en,10.1787/008b32b7-en,,,,,,
Sociotechnical Considerations for Accessibility and Equity in AI for Healthcare,Companion Proceedings of the ACM Web Conference 2024,"Chapman, Harrison, Jones, Thornton, Worley, Wyatt",2024,http://dx.doi.org/10.1145/3589335.3651455,10.1145/3589335.3651455,,,,,,
"Disability Discrimination Using AI Systems, Social Media and Digital Platforms: Can We Disable Digital Bias?",SSRN Electronic Journal,Packin,0,http://dx.doi.org/10.2139/ssrn.3724556,10.2139/ssrn.3724556,,,,,,
Disabled students’ use of generative AI in Higher Education,,"Zhao, Cox, Chen",0,http://dx.doi.org/10.31219/osf.io/gdphx,10.31219/osf.io/gdphx,,,,,,
"Halin ai: Intersectional Experiences of Disability, Climate Change, and Disasters in Indonesia",Social Inclusion,"Pirmasari, McQuaid",0,http://dx.doi.org/10.17645/si.v11i4.7105,10.17645/si.v11i4.7105,,21832803,Social Sciences,,,
AI and IoT Enabled Technologies for Monitoring the Right to Health of Disabled People,2022 5th International Conference on Contemporary Computing and Informatics (IC3I),"Pandey, Dixit, Bahuguna, Akram, Pandey, Kathuria",2022,http://dx.doi.org/10.1109/ic3i56241.2022.10073046,10.1109/ic3i56241.2022.10073046,,,,,,
AI-Generated Code Not Considered Harmful,Proceedings of the 25th Western Canadian Conference on Computing Education,"Kendon, Wu, Aycock",2023,http://dx.doi.org/10.1145/3593342.3593349,10.1145/3593342.3593349,,,,,,
AI- and IoT-Enabled Solutions for Healthcare,Sensors,"Kouchaki, Ding, Sanei",0,http://dx.doi.org/10.3390/s24082607,10.3390/s24082607,14248220,14248220,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Computer Science,Engineering
Find My Things: Personalized Accessibility through Teachable AI for People who are Blind or Low Vision,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,"Wen, Morrison, Grayson, Marques, Massiceti, Longden, Cutrell",2024,http://dx.doi.org/10.1145/3613905.3648641,10.1145/3613905.3648641,,,,,,
The Shadow Whose Prey the Hunter Becomes,Hybrid,Gavory,0,http://dx.doi.org/10.4000/hybrid.4157,10.4000/hybrid.4157,,,,,,
Development of an AI-Robotics 3D Printed Circle of Command for Enhancing Accessibility and Mobility in Individuals with Mobility Issues,Signal Image Processing and Multimedia,"Shih, Sahagun",2023,http://dx.doi.org/10.5121/csit.2023.130910,10.5121/csit.2023.130910,,,,,,
Technological Help to Prevent and Reduce Cyberbullying,Developing Safer Online Environments for Children,Marzano,2020,http://dx.doi.org/10.4018/978-1-7998-1684-3.ch012,10.4018/978-1-7998-1684-3.ch012,,,,,,
Automatic Lecture Video Indexing Using Video OCR Technology,2011 IEEE International Symposium on Multimedia,"Yang, Siebert, Luhne, Sack, Meinel",2011,http://dx.doi.org/10.1109/ism.2011.26,10.1109/ism.2011.26,,,,,,
"Enhancing Accessibility to Analytics Courses in Higher Education through AI, Simulation, and e-Collaborative Tools",Information,"Osorio, Fuster, Chen, Men, Juan",0,http://dx.doi.org/10.3390/info15080430,10.3390/info15080430,13434500,13448994,Physical Sciences,Computer Science,,
Overcoming Experiences of Family Members Caring for Elderly Patients with Dementia at Home,Journal of Korean Academy of Nursing,"Sung, Yi, Lee, Jang",2013,http://dx.doi.org/10.4040/jkan.2013.43.3.389,10.4040/jkan.2013.43.3.389,20053673,2093758X,Health Sciences,,,
Supporting Young Children with Disabilities,The Future of Children,"Hebbeler, Spiker",2016,http://dx.doi.org/10.1353/foc.2016.0018,10.1353/foc.2016.0018,,,,,,
"Boxly: Design and Architecture of a Smart Physical Therapy Clinic for People Having Mobility Disability Using Metaverse, AI, and IoT Technologies in Saudi Arabia","2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)","Aldolaim, Gull, Iqbal",2024,http://dx.doi.org/10.1109/iciteics61368.2024.10625294,10.1109/iciteics61368.2024.10625294,,,,,,
Research on Developing AI Education Programs for Students with Developmental Disabilities,Journal of Digital Contents Society,"Lee, Kim, Kim",2024,http://dx.doi.org/10.9728/dcs.2024.25.1.229,10.9728/dcs.2024.25.1.229,,,,,,
Artistic Fusion: Exploring the Potential of AI-Generated Artwork in Enabling Creative Expression with People with Intellectual Disabilities,Proceedings of the 35th Australian Computer-Human Interaction Conference,"S. Guedes, Balasuriya, Sitbon, Landoni",2023,http://dx.doi.org/10.1145/3638380.3638429,10.1145/3638380.3638429,,,,,,
AI-assisted teaching as a method for enhancing ballet instruction for people with disabilities and older adults.,,Sivakumar,0,http://dx.doi.org/10.58445/rars.352,10.58445/rars.352,,,,,,
AI-Augmented Behavior Analysis for Children With Developmental Disabilities: Building Toward Precision Treatment,"IEEE Systems, Man, and Cybernetics Magazine","Ghafghazi, Carnett, Neely, Das, Rad",2021,http://dx.doi.org/10.1109/msmc.2021.3086989,10.1109/msmc.2021.3086989,,,,,,
Disabled students’ use of generative AI in Higher Education,,"Zhao, Cox, Chen",0,http://dx.doi.org/10.31219/osf.io/gdphx,10.31219/osf.io/gdphx,,,,,,
Educational Online Video in Adaptive E-Learning,Advances in Multimedia and Interactive Technologies,"Chelliq, Erradi, Khaldi",2022,http://dx.doi.org/10.4018/978-1-6684-3996-8.ch011,10.4018/978-1-6684-3996-8.ch011,,,,,,
AI-Powered Revolution: Transforming Industrial Production through Automation,"International Journal of Advanced Research in Science, Communication and Technology","Mr. Prashant Dupare, Mr. Sahil Sangole",0,http://dx.doi.org/10.48175/ijarsct-17415,10.48175/ijarsct-17415,,,,,,
Wrongful Birth: AI-Tools for Moral Decisions in Clinical Care in the Absence of Disability Ethics,The American Journal of Bioethics,Sabatello,2022,http://dx.doi.org/10.1080/15265161.2022.2075971,10.1080/15265161.2022.2075971,,,,,,
AI-Powered Radar Sensing for Remote Health Monitoring,Proceedings of the XXXVth URSI General Assembly and Scientific Symposium – GASS 2023,Shaker,2023,http://dx.doi.org/10.46620/ursigass.2023.3686.dmdw1546,10.46620/ursigass.2023.3686.dmdw1546,,,,,,
Conversational AI Assistant,International Journal for Research in Applied Science and Engineering Technology,Ansari,0,http://dx.doi.org/10.22214/ijraset.2022.47554,10.22214/ijraset.2022.47554,,,,,,
"Nature and Prevalence of Long-Term Conditions in People With Intellectual Disability, a Study That Combines the Powers of AI, Big Data and Lived experience",BJPsych Open,"Lewin, Kousovista, Abakasanga, Shivamurthy, Cosma",2024,http://dx.doi.org/10.1192/bjo.2024.192,10.1192/bjo.2024.192,,20564724,Health Sciences,,,
Can a Web Accessibility Checker Be Enhanced by the Use of AI?,Lecture Notes in Computer Science,"Draffan, Ding, Wald, Everett, Barrett, Sasikant, Geangu, Newman",2020,http://dx.doi.org/10.1007/978-3-030-58796-3_9,10.1007/978-3-030-58796-3_9,,,,,,
Civil Rights Act—Title VII,Managing Smart,MILGRAM,1999,http://dx.doi.org/10.1016/b978-0-88415-752-6.50265-4,10.1016/b978-0-88415-752-6.50265-4,,,,,,
“They only care to show us the wheelchair”: disability representation in text-to-image AI models,Proceedings of the CHI Conference on Human Factors in Computing Systems,"Mack, Qadri, Denton, Kane, Bennett",2024,http://dx.doi.org/10.1145/3613904.3642166,10.1145/3613904.3642166,,,,,,
Physical Disability among Cardiopulmonary Resuscitation Students,Occupational Health Nursing,"Macauley, Todd",1978,http://dx.doi.org/10.1177/216507997802600304,10.1177/216507997802600304,00297933,,Health Sciences,,,
Accessibility Improvement of Leisure Sports “Mölkky” for Visually Impaired Players Using AI Vision,Lecture Notes in Computer Science,"Kobayashi, Suzuki",2022,http://dx.doi.org/10.1007/978-3-031-08645-8_9,10.1007/978-3-031-08645-8_9,,,,,,
Virtual Mouse Using A.I Assist for Disabled,2023 Annual International Conference on Emerging Research Areas: International Conference on Intelligent Systems (AICERA/ICIS),"Abraham, Sekhar, Joseph",2023,http://dx.doi.org/10.1109/aicera/icis59538.2023.10420339,10.1109/aicera/icis59538.2023.10420339,,,,,,
The Neglected 15%: Positive Effects of Hybrid Human-AI Tutoring Among Students with Disabilities,Lecture Notes in Computer Science,"Thomas, Gatz, Gupta, Aleven, Koedinger",2024,http://dx.doi.org/10.1007/978-3-031-64302-6_29,10.1007/978-3-031-64302-6_29,,,,,,
AI Enabled Personalized Learning Platform,International Journal For Multidisciplinary Research,"-, -, -, -, -",0,http://dx.doi.org/10.36948/ijfmr.2024.v06i03.23253,10.36948/ijfmr.2024.v06i03.23253,,,,,,
Designing Equity and Accessibility into AI for Services,Touchpoint,"Willis, Chandrashekar, Jackson",0,http://dx.doi.org/10.30819/touchpoint.15-1.10,10.30819/touchpoint.15-1.10,18686052,,Social Sciences,Arts and Humanities,,
A Critical Review of Literature on Social Media and Developmental Communication Disability: Implications for Future Social Media and Generative AI Research,Current Developmental Disorders Reports,"Hemsley, Given, Almond, Cooper, Smith, Young, Wright",0,http://dx.doi.org/10.1007/s40474-024-00297-9,10.1007/s40474-024-00297-9,,21962987,Life Sciences,,,
Examining the Accessibility of Generative AI Website Builder Tools for Blind and Low Vision Users: 21 Best Practices for Designers and Developers,2024 IEEE International Professional Communication Conference (ProComm),"Oswal, Oswal",2024,http://dx.doi.org/10.1109/procomm61427.2024.00030,10.1109/procomm61427.2024.00030,,,,,,
Closing the accessibility gap to mental health treatment with a personalized self-referral chatbot,Nature Medicine,"Habicht, Viswanathan, Carrington, Hauser, Harper, Rollwage",2024,http://dx.doi.org/10.1038/s41591-023-02766-x,10.1038/s41591-023-02766-x,10788956,1546170X,Life Sciences,"Biochemistry, Genetics and Molecular Biology",,
URRBP: Workflow for AI Accessibility Through Expert-Driven Prompt Engineering and Intelligent Model Management,,"B., G.",0,http://dx.doi.org/10.36227/techrxiv.22491181.v1,10.36227/techrxiv.22491181.v1,,,,,,
Artificial Intelligence (AI) for Web Accessibility,Proceedings of the 15th International Web for All Conference,"Abou-Zahra, Brewer, Cooper",2018,http://dx.doi.org/10.1145/3192714.3192834,10.1145/3192714.3192834,,,,,,
BusStopCV: A Real-time AI Assistant for Labeling Bus Stop Accessibility Features in Streetscape Imagery,The 25th International ACM SIGACCESS Conference on Computers and Accessibility,"Kulkarni, Li, Ahn, Ma, Zhang, Saugstad, Wu, Eisenberg, Novack, Chamberlain, Froehlich",2023,http://dx.doi.org/10.1145/3597638.3614481,10.1145/3597638.3614481,,,,,,
AI-powered Digital Classroom,"2022 International Conference on Communication, Computing and Internet of Things (IC3IoT)","G, S, M, J, N",2022,http://dx.doi.org/10.1109/ic3iot53935.2022.9767944,10.1109/ic3iot53935.2022.9767944,,,,,,
Generative AI as a New Platform for Applications Development,,"Cusumano, Farias, Ramakrishnan",0,http://dx.doi.org/10.21428/e4baedd9.f189351f,10.21428/e4baedd9.f189351f,,,,,,
AllyChat: Developing a VR Conversational AI Agent Using Few-Shot Learning to Support Individuals with Intellectual Disabilities,Lecture Notes in Computer Science,"Garcia-Pi, Chaudhury, Versaw, Back, Kwon, Kicklighter, Taele, Seo",2023,http://dx.doi.org/10.1007/978-3-031-42293-5_43,10.1007/978-3-031-42293-5_43,,,,,,
The Digital Turn in Mental Health and Disability Law,"The Future of Mental Health, Disability and Criminal Law","Gooding, Maker",2023,http://dx.doi.org/10.4324/9781003350644-17,10.4324/9781003350644-17,,,,,,
Big Bad Feelings: AI Depression Diagnosis and the Technopolitics of Disability,,"Unknown, Zinn",2024,http://dx.doi.org/10.35650/jt.3065.d.2024,10.35650/jt.3065.d.2024,,,,,,
Picking Apart the Black Box: Sociotechnical Contours of Accessibility in AI/ML Software Engineering,Advances in Intelligent Systems and Computing,Wolf,2020,http://dx.doi.org/10.1007/978-3-030-51057-2_28,10.1007/978-3-030-51057-2_28,21945357,21945365,Physical Sciences,Computer Science,Engineering,
"Disability, fairness, and algorithmic bias in AI recruitment",Ethics and Information Technology,Tilmes,2022,http://dx.doi.org/10.1007/s10676-022-09633-2,10.1007/s10676-022-09633-2,13881957,,Social Sciences,Computer Science,,
Exploring Accessibility of Community Pharmacy Services,INNOVATIONS in pharmacy,Kelling,0,http://dx.doi.org/10.24926/iip.v6i3.392,10.24926/iip.v6i3.392,,,,,,
Informal Education Practices for Human–AI Creative Pedagogy for Accessibility and Inclusivity,Palgrave Studies in Creativity and Culture,"Boulord, Le Borgne, Corieri",2024,http://dx.doi.org/10.1007/978-3-031-55272-4_7,10.1007/978-3-031-55272-4_7,,,,,,
Siblings Family Drama,Journal of Feminist Family Therapy,"Chan, Ma",2007,http://dx.doi.org/10.1300/j086v19n02_02,10.1300/j086v19n02_02,08952833,15404099,Social Sciences,,,
Practice in Physical Education Classes Using ICT at Special Needs Schools for Students with Intellectual Disabilities: Utilizing Physical Fitness Test Apps and AI Apps,Japan Journal of Human Growth and Development Research,Iwai,2024,http://dx.doi.org/10.5332/hatsuhatsu.2024.96_15,10.5332/hatsuhatsu.2024.96_15,,,,,,
Improving Workplace Safety With AI-Powered Predictive Analytics,Advances in Computational Intelligence and Robotics,"Rathod, Mahajan, Khadkikar, Vyawahare, Patil",2024,http://dx.doi.org/10.4018/979-8-3693-1435-7.ch014,10.4018/979-8-3693-1435-7.ch014,,,,,,
AI and accessibility,Communications of the ACM,Morris,2020,http://dx.doi.org/10.1145/3356727,10.1145/3356727,00010782,15577317,Physical Sciences,Computer Science,,
Personalized Physio-Care System Using Ai,Handbook of Research on Artificial Intelligence and Soft Computing Techniques in Personalized Healthcare Services,"Deoskar, Parab, Patil",2023,http://dx.doi.org/10.1201/9781003371250-13,10.1201/9781003371250-13,,,,,,
Leveraging Generative AI for Inclusive Online Friendship Education: Integrating Easy-to-Read Guidelines for Enhanced Accessibility,,"Huang, Chuang",0,http://dx.doi.org/10.20944/preprints202409.0677.v1,10.20944/preprints202409.0677.v1,,,,,,
AI Algorithm for the Generation of Three-Dimensional Accessibility Ramps in Grasshopper  Rhinoceros 7,,"Li, Yi, yeo",0,http://dx.doi.org/10.36227/techrxiv.24278755,10.36227/techrxiv.24278755,,,,,,
Recruitment AI has a Disability Problem: questions employers should be asking to ensure fairness in recruitment,,"Nugent, Jackson, Scott-Parker, Partridge, Raper, Bakalis, Shepherd, Mitra, Long, Maynard, Crook",0,http://dx.doi.org/10.31235/osf.io/emwn5,10.31235/osf.io/emwn5,,,,,,
"Statistical analysis and generative Artificial Intelligence (AI) for assessing pain experience, pain-induced disability, and quality of life in Parkinson's disease patients",Brain Research Bulletin,"Conte, Lupo, Lezzi, Pedone, Rubbi, Lezzi, Vitale, Fasano, De Nunzio",2024,http://dx.doi.org/10.1016/j.brainresbull.2024.110893,10.1016/j.brainresbull.2024.110893,03619230,18732747,Life Sciences,,,
A Study on Pedestrian Accessibility Assessment of Education Facilities Using Pedestrian Path Network Analysis,Journal of the architectural institute of Korea planning &amp; design,"Lee, Yoon, Park",2015,http://dx.doi.org/10.5659/jaik_pd.2015.31.7.111,10.5659/jaik_pd.2015.31.7.111,,,,,,
RomanSetu: Efficiently unlocking multilingual capabilities of Large Language Models via Romanization,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),"J, Dabre, M, Gala, Jayakumar, Puduppully, Kunchukuttan",2024,http://dx.doi.org/10.18653/v1/2024.acl-long.833,10.18653/v1/2024.acl-long.833,,,,,,
Recruitment AI Has a Disability Problem: Anticipating and Mitigating Unfair Automated Hiring Decisions,"Intelligent Systems, Control and Automation: Science and Engineering","Nugent, Scott-Parker",2022,http://dx.doi.org/10.1007/978-3-031-09823-9_6,10.1007/978-3-031-09823-9_6,22138986,22138994,Physical Sciences,Computer Science,Engineering,Mathematics
Accessibility of Information Resources and Services in the Library for the Users with Disabilities: A Study,Indian Journal of Information Sources and Services,Salauddin,0,http://dx.doi.org/10.51983/ijiss-2022.12.1.3158,10.51983/ijiss-2022.12.1.3158,,,,,,
THE ROLE OF AI IN FINANCIAL MARKET DEVELOPMENT: ENHANCING EFFICIENCY AND ACCESSIBILITY IN EMERGING ECONOMIES,Finance &amp; Accounting Research Journal,"Nneka Adaobi Ochuba, Adetumi Adewumi, David Olanrewaju Olutimehin",0,http://dx.doi.org/10.51594/farj.v6i3.969,10.51594/farj.v6i3.969,,,,,,
Advancing Healthcare Accessibility: Development of an AI-Driven Multimodal Chatbot,2023 4th International Conference on Intelligent Technologies (CONIT),"Garimella, Garlapati, Choul, Cherukuri, Lanke",2024,http://dx.doi.org/10.1109/conit61985.2024.10626795,10.1109/conit61985.2024.10626795,,,,,,
Bridging Gaps with Generative AI: Enhancing Hypertension Monitoring Through Patient and Provider Insights,Studies in Health Technology and Informatics,"Andreadis, Rodriguez, Zakreuskaya, Chen, Gonzalez, Mann",2024,http://dx.doi.org/10.3233/shti240565,10.3233/shti240565,09269630,,Physical Sciences,Engineering,,
AI/ML Education in Radiology: Accessibility is Key,Academic Radiology,"Perchik, Tridandapani",2023,http://dx.doi.org/10.1016/j.acra.2023.04.039,10.1016/j.acra.2023.04.039,10766332,18784046,Health Sciences,,,
Artificial Intelligence (AI) for Web Accessibility,Proceedings of the 15th International Web for All Conference,"Abou-Zahra, Brewer, Cooper",2018,http://dx.doi.org/10.1145/3192714.3192834,10.1145/3192714.3192834,,,,,,
Integrating Synthetic Accessibility with AI-based Generative Drug Design,,"Parrot, Tajmouati, Barros Ribeiro da Silva, Ross Atwood, Fourcade, Gasthon-Mathé, Do Huu, Perron",0,http://dx.doi.org/10.26434/chemrxiv-2021-jkhzw,10.26434/chemrxiv-2021-jkhzw,,,,,,
Retrosynthetic accessibility score (RAscore) – rapid machine learned synthesizability classification from AI driven retrosynthetic planning,Chemical Science,"Thakkar, Chadimová, Bjerrum, Engkvist, Reymond",0,http://dx.doi.org/10.1039/d0sc05401a,10.1039/d0sc05401a,20416520,20416539,Physical Sciences,,,
Virtual Buddy: Redefining Conversational AI Interactions for Individuals with Hand Motor Disabilities,Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,"Taheri, Bhardwaj, Caetano, Zhong, Sra",2023,http://dx.doi.org/10.1145/3586182.3616680,10.1145/3586182.3616680,,,,,,
The Exclusionary Discipline of American Indian and Alaska Native (AI/AN) Students with and Without Disabilities: A Civil Rights Data Collection (CRDC) National Analysis,Journal of Child and Family Studies,"Whitford, Gage, Katsiyannis, Counts, Rapa, McWhorter",2019,http://dx.doi.org/10.1007/s10826-019-01511-8,10.1007/s10826-019-01511-8,10621024,15732843,Social Sciences,,,
Experimental Crowd+AI Approaches to Track Accessibility Features in Sidewalk Intersections Over Time,Proceedings of the 23rd International ACM SIGACCESS Conference on Computers and Accessibility,"Sharif, Gopal, Saugstad, Bhatt, Fok, Weld, Asher Mankoff Dey, E. Froehlich",2021,http://dx.doi.org/10.1145/3441852.3476549,10.1145/3441852.3476549,,,,,,
Workshop on AI fairness for people with disabilities,ACM SIGACCESS Accessibility and Computing,"Trewin, Morris, Branham, Lasecki, Azenkot, Bleuel, Azenkot, Jenkins, Bigham",2020,http://dx.doi.org/10.1145/3386296.3386297,10.1145/3386296.3386297,,,,,,
AI for Medical Image Processing,AI in Clinical Medicine,"Chepelev, Nicolaou, Sheikh",2023,http://dx.doi.org/10.1002/9781119790686.ch34,10.1002/9781119790686.ch34,,,,,,
Scaling Crowd+AI Sidewalk Accessibility Assessments: Initial Experiments Examining Label Quality and Cross-city Training on Performance,Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility,"Duan, Kiami, Milandin, Kuang, Saugstad, Hosseini, Froehlich",2022,http://dx.doi.org/10.1145/3517428.3550381,10.1145/3517428.3550381,,,,,,
Fairness of AI for people with disabilities,ACM SIGACCESS Accessibility and Computing,White,2020,http://dx.doi.org/10.1145/3386296.3386299,10.1145/3386296.3386299,,,,,,
Cognitive behavioral assistive technology (CBAT) as AI for super aged society,Gerontechnology,"Otake-Matsuura, Abe, Sekiguchi, Tokunaga, Sugimoto, Rutkowski, Miura",2022,http://dx.doi.org/10.4017/gt.2022.21.s.713.opp3,10.4017/gt.2022.21.s.713.opp3,15691101,1569111X,Physical Sciences,Engineering,,
AI-Driven Interviewer: Enhancing Interview Experience Through Conversational AI,IFIP Advances in Information and Communication Technology,"Sumathi, Kevin Harris, Jeyanth",2024,http://dx.doi.org/10.1007/978-3-031-69986-3_13,10.1007/978-3-031-69986-3_13,18684238,1868422X,Social Sciences,Computer Science,,
The role of public procurement in improving accessibility to ICT,Telecommunications Journal of Australia,"Astbrink, Tibben",0,http://dx.doi.org/10.7790/tja.v63i2.412,10.7790/tja.v63i2.412,,,,,,
Modeling Accessibility to Public Health Facilities in Resource-Limited Settings Through GIS and Geo-AI Applications,Earth and Environmental Sciences Library,"Ganasegeran, Kamarudin, Abdul Manaf",2024,http://dx.doi.org/10.1007/978-3-031-50848-6_17,10.1007/978-3-031-50848-6_17,,,,,,
Utilizing Emergent AI Chatbot Technology to Generate Mathematical Writing Models for Elementary Students With Learning Disabilities,Intervention in School and Clinic,"Smith, Smith, Price",2024,http://dx.doi.org/10.1177/10534512241233512,10.1177/10534512241233512,10534512,15384810,Social Sciences,,,
Advantages and Challenges of Using AI for People with Disabilities,Proceedings of the 10th International Conference on Information and Communication Technologies for Ageing Well and e-Health,"Taleghani, Kundi, Mobeen, El-Lahib, Gorman, El Morr",2024,http://dx.doi.org/10.5220/0012626900003699,10.5220/0012626900003699,,,,,,
Roundtable Discussion Series - Generative AI (Part 1),Radiology: Artificial Intelligence,,2023,http://dx.doi.org/10.1148/ryai.06302023.podcast,10.1148/ryai.06302023.podcast,,26386100,Physical Sciences,Computer Science,,
Artificial Intelligence (AI) for Web Accessibility,Proceedings of the 15th International Web for All Conference,"Abou-Zahra, Brewer, Cooper",2018,http://dx.doi.org/10.1145/3192714.3192834,10.1145/3192714.3192834,,,,,,
A walk on water: comparing the influence of Ai Chi and Tai Chi on fall risk and verbal working memory in ageing people with intellectual disabilities – a randomised controlled trial,Journal of Intellectual Disability Research,"Nissim, Hutzler, Goldstein",2019,http://dx.doi.org/10.1111/jir.12602,10.1111/jir.12602,09642633,13652788,Life Sciences,Arts and Humanities,,
Study Finds AI Language Models Show Bias Against Individuals With Disabilities,Disability Compliance for Higher Education,Lyerly,2023,http://dx.doi.org/10.1002/dhe.31541,10.1002/dhe.31541,,,,,,
"Bridging the Gap: A narrative review of osteoporosis disability, adipokines, and the role of AI in postmenopausal women",Pakistan Journal of Medical Sciences,"Tariq, Jabbar, Ahmad, Tariq",0,http://dx.doi.org/10.12669/pjms.40.7.9072,10.12669/pjms.40.7.9072,1682024X,1681715X,Health Sciences,,,
A Framework for a Blockchain-Based Decentralized Data Marketplace,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","Aljohani, Mukkamala, Olariu",2023,http://dx.doi.org/10.1007/978-3-031-27041-3_5,10.1007/978-3-031-27041-3_5,,,,,,
"Towards the Triad of Digital Literacy, Data Literacy and AI Literacy in Teacher Education – A Discussion in Light of the Accessibility of Novel Generative AI",,"Kreinsen, Schulz",0,http://dx.doi.org/10.35542/osf.io/xguzk,10.35542/osf.io/xguzk,,,,,,
Key Characteristics of Digital Educational Games for Students With Intellectual Disabilities,International Journal of Game-Based Learning,"Stancin, Hoic-Bozic, Mihic",2022,http://dx.doi.org/10.4018/ijgbl.313637,10.4018/ijgbl.313637,21556849,21556857,Social Sciences,,,
People with Cognitive Disabilities,Social Work,"McCormick, Kagan",2004,http://dx.doi.org/10.1093/sw/49.3.520-a,10.1093/sw/49.3.520-a,00378046,15456846,Social Sciences,,,
Breaking Barriers: A Hands-On Tutorial on AI-Enabled Accessibility to Social Media Content,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,"Villena, Català, García, Polo, Labrador, Del Valle, Ayyagari",2024,http://dx.doi.org/10.1145/3637528.3671446,10.1145/3637528.3671446,,,,,,
Learning from the early adopters: developing the Digital Practitioner,Research in Learning Technology,Bennett,0,http://dx.doi.org/10.3402/rlt.v22.21453,10.3402/rlt.v22.21453,21567069,21567077,Social Sciences,Computer Science,,
AI-Augmented Medical Research on Spatial Distribution and Accessibility of Public Sports Venues in Shanghai Through GIS Visualization Technology,Computer-Aided Design and Applications,"Yang, Oh",0,http://dx.doi.org/10.14733/cadaps.2024.s24.69-88,10.14733/cadaps.2024.s24.69-88,16864360,,Physical Sciences,Computer Science,Engineering,Mathematics
Facilitating the Implementation of AI-Based Assistive Technologies for Persons with Disabilities in Vocational Rehabilitation: A Practical Design Thinking Approach,Lecture Notes in Computer Science,"Kähler, Feichtenbeiner, Beudt",2021,http://dx.doi.org/10.1007/978-3-030-78270-2_40,10.1007/978-3-030-78270-2_40,,,,,,
Accessibility metadata to improve OER adaptability,2016 XI Latin American Conference on Learning Objects and Technology (LACLO),"Temesio, Motz",2016,http://dx.doi.org/10.1109/laclo.2016.7751783,10.1109/laclo.2016.7751783,,,,,,
"Fusion Fund Powers Founders Bringing AI to Healthtech, Life Sciences, and More",GEN Edge,Grinstein,2023,http://dx.doi.org/10.1089/genedge.5.1.128,10.1089/genedge.5.1.128,,,,,,
"Exploring the LCC Hypothesis in the Nordic Region: The Role of AI Innovation, Environmental Taxes, and Financial Accessibility via Panel ARDL",Global Sustainability Research,"Hossain, Mohammad Ridwan, Akhter, Nayeem, Choudhury, Asrafuzzaman, Shoha, Abir, Sumaira",0,http://dx.doi.org/10.56556/gssr.v3i3.972,10.56556/gssr.v3i3.972,,,,,,
How to Prepare Yourself for Higher Education,How to Succeed at University: An Essential Guide to Academic Skills and Personal Development,,2009,http://dx.doi.org/10.4135/9781446279731.n2,10.4135/9781446279731.n2,,,,,,
Enhancing Readability of Online Patient-Facing Content: The Role of AI Chatbots in Improving Cancer Information Accessibility,Journal of the National Comprehensive Cancer Network,"Abreu, Murimwa, Farah, Stewart, Zhang, Rodriguez, Sweetenham, Zeh, Wang, Polanco",2024,http://dx.doi.org/10.6004/jnccn.2023.7334,10.6004/jnccn.2023.7334,,,,,,
Ethical Considerations for AI,The Rise of Machines,"Cheok, Edirisinghe, Shrestha",2024,http://dx.doi.org/10.1201/9781003449072-3,10.1201/9781003449072-3,,,,,,
AI and Inclusivity: Co-designing for Disability Empowerment,Lecture Notes in Networks and Systems,"de Simone, Casillo, Collina",2024,http://dx.doi.org/10.1007/978-3-031-66431-1_12,10.1007/978-3-031-66431-1_12,23673370,23673389,Physical Sciences,Computer Science,Engineering,
A 4-week community aquatic physiotherapy program with Ai Chi or Bad Ragaz Ring Method improves disability and trunk muscle endurance in adults with chronic low back pain: A pilot study,Journal of Back and Musculoskeletal Rehabilitation,"So, Ng, Au",2019,http://dx.doi.org/10.3233/bmr-171059,10.3233/bmr-171059,10538127,18786324,Health Sciences,,,
Voice Practices to Support Pupils with Special Educational Needs and Disabilities (SEND),Diverse Voices in Educational Practice,"Sewell, Park, King, Fleming, Pirttijarvi, Busby, Pirttijarvi, Busby",2022,http://dx.doi.org/10.4324/9781003165842-5,10.4324/9781003165842-5,,,,,,
HUMAN BEINGS NOT MACHINES,Octavia Hill,,2016,http://dx.doi.org/10.4324/9781315469096-127,10.4324/9781315469096-127,,,,,,
Are institutions addressing accessibility in generative AI policy development?,Disability Compliance for Higher Education,"Aquino, Lalor, Parnther",2024,http://dx.doi.org/10.1002/dhe.31804,10.1002/dhe.31804,,,,,,
Enhancing web accessibility,Proceedings of the eleventh ACM international conference on Multimedia  - MULTIMEDIA '03,"Lee, Hanson",2003,http://dx.doi.org/10.1145/957102.957110,10.1145/957102.957110,,,,,,
Advancement in Diabetes Research: Accessibility of AI-powered Tools for Early Diabetes Detection in LMICs,SSRN Electronic Journal,Nwanua,0,http://dx.doi.org/10.2139/ssrn.4801815,10.2139/ssrn.4801815,,,,,,
